Week,Gross,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Capacity,Show_Name,Type,Year,Month,Season
3/16/08,467783,925549,0.5054,55.01,250,8503,10752,0.791,In The Heights,Musical,2008,3,Spring
3/16/08,527080,768979,0.6854,58.85,200,8956,9448,0.948,Rent,Musical,2008,3,Spring
3/16/08,635844,786579,0.8084,79.51,251.5,7997,8576,0.932,Grease,Musical,2008,3,Spring
3/16/08,225643,695308,0.3245,50.89,201.5,4434,7984,0.555,Passing Strange,Musical,2008,3,Spring
3/16/08,949300,1195594,0.794,70.26,250,13512,14376,0.94,Mary Poppins,Musical,2008,3,Spring
3/16/08,556398,1075464,0.5174,65.26,251.5,8526,11376,0.749,Curtains,Play,2008,3,Spring
3/16/08,798906,1192560,0.6699,74.34,251.25,10747,11984,0.897,Mamma Mia ,Musical,2008,3,Spring
3/16/08,1140524,846719,1.347,116.27,351.5,9809,9776,1.003,Jersey Boys,Musical,2008,3,Spring
3/16/08,567183,801792,0.7074,70.25,201.25,8074,8720,0.926,Spring Awakening,Musical,2008,3,Spring
3/16/08,955992,1048115,0.9121,86.03,251.5,11112,12144,0.915,The Little Mermaid,Musical,2008,3,Spring
3/16/08,652745,1061843,0.6147,61.81,240,10561,11424,0.924,Hairspray,Musical,2008,3,Spring
3/16/08,421787,790880,0.5333,56.04,121.25,7527,8032,0.937,Sunday In The Park With George,Musical,2008,3,Spring
3/16/08,797267,1031323,0.7731,75.46,251.25,10565,11528,0.916,Spamalot,Musical,2008,3,Spring
3/16/08,676540,919903,0.7354,63.87,250,10592,13528,0.783,Legally Blonde,Musical,2008,3,Spring
3/16/08,742967,1000000,0.743,61.94,201.25,11994,12856,0.933,The Phantom Of The Opera,Musical,2008,3,Spring
3/16/08,191826,501040,0.3829,62.83,226.25,3053,4768,0.64,Xanadu,Musical,2008,3,Spring
3/16/08,279460,508720,0.5493,50.83,96.25,5498,5728,0.96,The 39 Steps,Play,2008,3,Spring
3/16/08,244702,465660,0.5255,55.24,96.5,4430,5200,0.852,Come Back Little Sheba,Play,2008,3,Spring
3/16/08,374578,792383,0.4727,62.17,301.25,6025,8552,0.705,A Chorus Line,Musical,2008,3,Spring
3/16/08,69652,73350,0.9496,43.24,250,1611,1611,1,Cry Baby,Play,2008,3,Spring
3/16/08,579322,795280,0.7285,71.47,101,8106,8328,0.973,South Pacific,Musical,2008,3,Spring
3/16/08,1456447,1308816,1.1128,100.64,300,14472,14472,1,Wicked,Musical,2008,3,Spring
3/16/08,536861,1243548,0.4317,58.17,252,9229,13656,0.676,Gypsy 2008_2009,Musical,2008,3,Spring
3/16/08,1166716,1232795,0.9464,90.11,251.25,12947,13232,0.978,The Lion King,Musical,2008,3,Spring
3/16/08,699605,778825,0.8983,75.78,251.5,9232,9344,0.988,Cat On A Hot Tin Roof,Play,2008,3,Spring
3/16/08,503678,705408,0.714,70.58,251.5,7136,8464,0.843,November,Play,2008,3,Spring
3/16/08,478439,808782,0.5916,65.79,251.25,7272,8640,0.842,Chicago,Musical,2008,3,Spring
3/16/08,183460,639722,0.2868,50.76,226.5,3614,8656,0.418,The Homecoming,Play,2008,3,Spring
3/23/08,250880,532966,0.4707,57.36,226.5,4374,6304,0.694,The Seafarer,Play,2008,3,Spring
3/23/08,857369,919903,0.932,68.42,250,12531,13528,0.926,Legally Blonde,Musical,2008,3,Spring
3/23/08,249676,501040,0.4983,64.3,226.25,3883,4768,0.814,Xanadu,Musical,2008,3,Spring
3/23/08,672887,1075464,0.6257,67.07,251.5,10032,11376,0.882,Curtains,Play,2008,3,Spring
3/23/08,907943,0,,70.01,201.25,12969,12856,1.009,The Phantom Of The Opera,Musical,2008,3,Spring
3/23/08,741607,778825,0.9522,78.85,251.5,9405,9344,1.007,Cat On A Hot Tin Roof,Play,2008,3,Spring
3/23/08,1323304,1232795,1.0734,99.99,251.25,13235,13232,1,The Lion King,Musical,2008,3,Spring
3/23/08,332999,569800,0.5844,33.14,250,10047,12520,0.802,Cry Baby,Play,2008,3,Spring
3/23/08,551704,795280,0.6937,69.81,100,7903,8328,0.949,South Pacific,Musical,2008,3,Spring
3/23/08,526573,792383,0.6645,66.69,301.25,7896,8552,0.923,A Chorus Line,Musical,2008,3,Spring
3/23/08,290469,508900,0.5708,53.94,96.25,5385,5728,0.94,The 39 Steps,Play,2008,3,Spring
3/23/08,504388,705408,0.715,70.63,251.5,7141,8464,0.844,November,Play,2008,3,Spring
3/23/08,479145,897066,0.5341,67.34,251.5,7115,11352,0.627,Augustosage County,Play,2008,3,Spring
3/23/08,445601,787040,0.5662,58.13,121.25,7665,8000,0.958,Sunday In The Park With George,Musical,2008,3,Spring
3/23/08,669592,808782,0.8279,77.73,251.25,8614,8640,0.997,Chicago,Musical,2008,3,Spring
3/23/08,582350,768979,0.7573,61.18,200,9518,9448,1.007,Rent,Musical,2008,3,Spring
3/23/08,1162183,1195594,0.9721,80.89,250,14368,14376,0.999,Mary Poppins,Musical,2008,3,Spring
3/23/08,1503737,1308816,1.1489,103.91,300,14472,14472,1,Wicked,Musical,2008,3,Spring
3/23/08,601455,925549,0.6498,71.49,250,8413,10752,0.782,In The Heights,Musical,2008,3,Spring
3/23/08,917273,1031323,0.8894,79.83,251.25,11491,11528,0.997,Spamalot,Musical,2008,3,Spring
3/23/08,780477,786579,0.9922,90.99,251.5,8578,8576,1,Grease,Musical,2008,3,Spring
3/23/08,1001740,1192560,0.84,82.71,251.25,12111,11984,1.011,Mamma Mia ,Musical,2008,3,Spring
3/23/08,1116266,846719,1.3183,113.44,351.5,9840,9776,1.007,Jersey Boys,Musical,2008,3,Spring
3/23/08,421559,560298,0.7524,69.59,201.25,6058,6368,0.951,Avenue Q,Musical,2008,3,Spring
3/23/08,313560,695308,0.451,49.87,201.5,6287,7984,0.787,Passing Strange,Musical,2008,3,Spring
3/23/08,917832,1061843,0.8644,80.02,240,11470,11424,1.004,Hairspray,Musical,2008,3,Spring
3/23/08,665600,801792,0.8301,76.93,201.25,8652,8720,0.992,Spring Awakening,Musical,2008,3,Spring
3/23/08,162990,639722,0.2548,50.57,226.5,3223,8656,0.372,The Homecoming,Play,2008,3,Spring
3/23/08,652477,1243548,0.5247,58.39,252,11175,13656,0.818,Gypsy 2008_2009,Musical,2008,3,Spring
3/23/08,1186297,1048115,1.1318,96.97,251.5,12234,12144,1.007,The Little Mermaid,Musical,2008,3,Spring
3/30/08,263325,501040,0.5256,67.68,226.25,3891,4768,0.816,Xanadu,Musical,2008,3,Spring
3/30/08,176719,216992,0.8144,84.23,251.5,2098,2730,0.768,Macbeth 2008,Play,2008,3,Spring
3/30/08,1250226,1232795,1.0141,94.55,251.25,13223,13232,0.999,The Lion King,Musical,2008,3,Spring
3/30/08,844515,919903,0.918,70.04,250,12058,13528,0.891,Legally Blonde,Musical,2008,3,Spring
3/30/08,1178998,1048115,1.1249,96.29,251.5,12244,12144,1.008,The Little Mermaid,Musical,2008,3,Spring
3/30/08,656731,925549,0.7096,72.78,250,9023,10752,0.839,In The Heights,Musical,2008,3,Spring
3/30/08,400926,606209,0.6614,69.82,199.5,5742,6531,0.879,A Catered Affair,Musical,2008,3,Spring
3/30/08,322073,532966,0.6043,63.5,226.5,5072,6304,0.805,The Seafarer,Play,2008,3,Spring
3/30/08,178676,639722,0.2793,53.98,226.5,3310,8656,0.382,The Homecoming,Play,2008,3,Spring
3/30/08,926474,1192560,0.7769,77.34,251.25,11979,11984,1,Mamma Mia ,Musical,2008,3,Spring
3/30/08,513101,705408,0.7274,71.56,251.5,7170,8464,0.847,November,Play,2008,3,Spring
3/30/08,516943,897066,0.5763,68.47,251.5,7550,11352,0.665,Augustosage County,Play,2008,3,Spring
3/30/08,732385,786579,0.9311,86.96,251.5,8422,8576,0.982,Grease,Musical,2008,3,Spring
3/30/08,528077,795280,0.664,67.52,100,7821,8328,0.939,South Pacific,Musical,2008,3,Spring
3/30/08,590282,808782,0.7298,74.86,251.25,7885,8640,0.913,Chicago,Musical,2008,3,Spring
3/30/08,326734,695308,0.4699,50.69,201.5,6446,7984,0.807,Passing Strange,Musical,2008,3,Spring
3/30/08,772458,778825,0.9918,82.23,251.5,9394,9344,1.005,Cat On A Hot Tin Roof,Play,2008,3,Spring
3/30/08,1544646,1308816,1.1802,106.73,300,14472,14472,1,Wicked,Musical,2008,3,Spring
3/30/08,900668,1031323,0.8733,80.69,251.25,11162,11528,0.968,Spamalot,Musical,2008,3,Spring
3/30/08,1160319,846719,1.3704,117.8,351.5,9850,9776,1.008,Jersey Boys,Musical,2008,3,Spring
3/30/08,662557,801792,0.8263,76.98,201.25,8607,8720,0.987,Spring Awakening,Musical,2008,3,Spring
3/30/08,793593,1061843,0.7474,69.03,240,11496,11424,1.006,Hairspray,Musical,2008,3,Spring
3/30/08,1052316,1195594,0.8802,73.96,250,14229,14376,0.99,Mary Poppins,Musical,2008,3,Spring
3/30/08,598573,768979,0.7784,67.67,200,8846,9448,0.936,Rent,Musical,2008,3,Spring
3/30/08,655557,1243548,0.5272,62.37,252,10511,13656,0.77,Gypsy 2008_2009,Musical,2008,3,Spring
3/30/08,442841,790880,0.5599,56.41,121.25,7850,8032,0.977,Sunday In The Park With George,Musical,2008,3,Spring
3/30/08,267735,453530,0.5903,55.5,96.25,4824,5180,0.931,The 39 Steps,Play,2008,3,Spring
3/30/08,511919,792383,0.6461,63.89,301.25,8012,8552,0.937,A Chorus Line,Musical,2008,3,Spring
3/30/08,775617,1075464,0.7212,70.32,251.5,11030,11376,0.97,Curtains,Play,2008,3,Spring
3/30/08,863806,1000000,0.8638,66.65,201.25,12961,12856,1.008,The Phantom Of The Opera,Musical,2008,3,Spring
3/30/08,333082,569800,0.5846,34.93,250,9536,12520,0.762,Cry Baby,Play,2008,3,Spring
3/30/08,414520,560298,0.7398,70.8,201.25,5855,6368,0.919,Avenue Q,Musical,2008,3,Spring
4/6/08,203468,278895,0.7296,78.86,300,2580,3309,0.78,The Country Girl,Play,2008,4,Spring
4/6/08,445061,897066,0.4961,69.66,251.5,6389,11352,0.563,Augustosage County,Play,2008,4,Spring
4/6/08,747885,1000000,0.7479,63.25,201.25,11824,12856,0.92,The Phantom Of The Opera,Musical,2008,4,Spring
4/6/08,957360,1048115,0.9134,88.99,251.5,10758,12144,0.886,The Little Mermaid,Musical,2008,4,Spring
4/6/08,455184,808782,0.5628,65.13,251.25,6989,8640,0.809,Chicago,Musical,2008,4,Spring
4/6/08,401486,790880,0.5076,54.69,121.25,7341,8032,0.914,Sunday In The Park With George,Musical,2008,4,Spring
4/6/08,607820,840630,0.7231,82.57,110,7361,8328,0.884,South Pacific,Musical,2008,4,Spring
4/6/08,178910,639722,0.2797,53.45,226.5,3347,8656,0.387,The Homecoming,Play,2008,4,Spring
4/6/08,771967,1243548,0.6208,67.52,252,11433,13656,0.837,Gypsy 2008_2009,Musical,2008,4,Spring
4/6/08,680782,1061843,0.6411,62.94,240,10816,11424,0.947,Hairspray,Musical,2008,4,Spring
4/6/08,629878,786579,0.8008,81.19,251.5,7758,8576,0.905,Grease,Musical,2008,4,Spring
4/6/08,1197762,1232795,0.9716,91.32,251.25,13116,13232,0.991,The Lion King,Musical,2008,4,Spring
4/6/08,743430,1031323,0.7209,76.16,251.25,9762,11528,0.847,Spamalot,Musical,2008,4,Spring
4/6/08,455604,801792,0.5682,73.34,201.25,6212,8720,0.712,Spring Awakening,Musical,2008,4,Spring
4/6/08,400243,705408,0.5674,71.36,251.5,5609,8464,0.663,November,Play,2008,4,Spring
4/6/08,430654,809855,0.5318,62.59,250,6881,9408,0.731,In The Heights,Musical,2008,4,Spring
4/6/08,371601,578647,0.6422,66.87,251.5,5557,7280,0.763,Macbeth 2008,Play,2008,4,Spring
4/6/08,218912,695308,0.3148,50.69,201.5,4319,7984,0.541,Passing Strange,Musical,2008,4,Spring
4/6/08,237718,569800,0.4172,33.21,250,7159,12520,0.572,Cry Baby,Play,2008,4,Spring
4/6/08,503852,1075464,0.4685,69.1,251.5,7292,11376,0.641,Curtains,Play,2008,4,Spring
4/6/08,384265,606209,0.6339,72.39,199.5,5308,6531,0.813,A Catered Affair,Musical,2008,4,Spring
4/6/08,165593,501040,0.3305,64.18,226.25,2580,4768,0.541,Xanadu,Musical,2008,4,Spring
4/6/08,681697,778825,0.8753,81.68,251.5,8346,9344,0.893,Cat On A Hot Tin Roof,Play,2008,4,Spring
4/6/08,320644,792383,0.4047,61.32,301.25,5229,8552,0.611,A Chorus Line,Musical,2008,4,Spring
4/6/08,451048,768979,0.5866,62.73,200,7190,9448,0.761,Rent,Musical,2008,4,Spring
4/6/08,900231,1195594,0.753,68.84,250,13077,14376,0.91,Mary Poppins,Musical,2008,4,Spring
4/6/08,834761,1192560,0.7,76.89,251.25,10857,11984,0.906,Mamma Mia ,Musical,2008,4,Spring
4/6/08,1139505,846719,1.3458,116.2,351.5,9806,9776,1.003,Jersey Boys,Musical,2008,4,Spring
4/6/08,658223,919903,0.7155,66.95,250,9832,13528,0.727,Legally Blonde,Musical,2008,4,Spring
4/6/08,298019,560298,0.5319,60.82,201.25,4900,6368,0.769,Avenue Q,Musical,2008,4,Spring
4/6/08,1501041,1308816,1.1469,103.72,300,14472,14472,1,Wicked,Musical,2008,4,Spring
4/13/08,381414,650754,0.5861,71.6,300,5327,7721,0.69,The Country Girl,Play,2008,4,Spring
4/13/08,441365,801792,0.5505,71.66,201.25,6159,8720,0.706,Spring Awakening,Musical,2008,4,Spring
4/13/08,455248,768979,0.592,62.9,200,7238,9448,0.766,Rent,Musical,2008,4,Spring
4/13/08,371887,606209,0.6135,70.25,199.5,5294,6531,0.811,A Catered Affair,Musical,2008,4,Spring
4/13/08,198628,695308,0.2857,50.89,201.5,3903,7984,0.489,Passing Strange,Musical,2008,4,Spring
4/13/08,710766,1061843,0.6694,65.84,240,10795,11424,0.945,Hairspray,Musical,2008,4,Spring
4/13/08,168990,501040,0.3373,65.1,226.25,2596,4768,0.544,Xanadu,Musical,2008,4,Spring
4/13/08,281329,560298,0.5021,63.04,201.25,4463,6368,0.701,Avenue Q,Musical,2008,4,Spring
4/13/08,379784,705408,0.5384,73.72,251.5,5152,8464,0.609,November,Play,2008,4,Spring
4/13/08,620326,919903,0.6743,65.99,250,9401,13528,0.695,Legally Blonde,Musical,2008,4,Spring
4/13/08,706979,867840,0.8146,88.93,110,7950,8328,0.955,South Pacific,Musical,2008,4,Spring
4/13/08,821446,1243548,0.6606,70.06,252,11725,13656,0.859,Gypsy 2008_2009,Musical,2008,4,Spring
4/13/08,278943,569800,0.4895,35.64,250,7826,12520,0.625,Cry Baby,Play,2008,4,Spring
4/13/08,392312,1075464,0.3648,61.48,251.5,6381,11376,0.561,Curtains,Play,2008,4,Spring
4/13/08,453218,808782,0.5604,65.92,251.25,6875,8640,0.796,Chicago,Musical,2008,4,Spring
4/13/08,743579,1000000,0.7436,62.39,201.25,11918,12856,0.927,The Phantom Of The Opera,Musical,2008,4,Spring
4/13/08,710501,778825,0.9123,82.46,251.5,8616,9344,0.922,Cat On A Hot Tin Roof,Play,2008,4,Spring
4/13/08,1506420,1308816,1.151,104.09,300,14472,14472,1,Wicked,Musical,2008,4,Spring
4/13/08,754369,1031323,0.7315,77.77,251.25,9700,11528,0.841,Spamalot,Musical,2008,4,Spring
4/13/08,399007,790880,0.5045,53.59,121.25,7446,8032,0.927,Sunday In The Park With George,Musical,2008,4,Spring
4/13/08,903235,1195594,0.7555,67.92,250,13298,14376,0.925,Mary Poppins,Musical,2008,4,Spring
4/13/08,1131348,846719,1.3362,115.07,351.5,9832,9776,1.006,Jersey Boys,Musical,2008,4,Spring
4/13/08,299744,792383,0.3783,63.13,301.25,4748,8552,0.555,A Chorus Line,Musical,2008,4,Spring
4/13/08,1007862,1048115,0.9616,90.01,251.5,11197,12144,0.922,The Little Mermaid,Musical,2008,4,Spring
4/13/08,647073,786579,0.8226,82.89,251.5,7806,8576,0.91,Grease,Musical,2008,4,Spring
4/13/08,87613,213060,0.4112,46.23,101.25,1895,2193,0.864,Les Liaisons Dangereuses,Play,2008,4,Spring
4/13/08,381988,506316,0.7544,75.02,251.5,5092,6370,0.799,Macbeth 2008,Play,2008,4,Spring
4/13/08,178669,639722,0.2793,54.86,226.5,3257,8656,0.376,The Homecoming,Play,2008,4,Spring
4/13/08,480327,897066,0.5354,71.69,251.5,6700,11352,0.59,Augustosage County,Play,2008,4,Spring
4/13/08,488233,925549,0.5275,65.67,250,7435,10752,0.691,In The Heights,Musical,2008,4,Spring
4/13/08,79175,128146,0.6179,58.43,151.5,1355,1560,0.869,Thurgood,Play,2008,4,Spring
